"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
<<<<<<< HEAD
"","76","Проверка вопроса: Сколько это стоит? И как оплатить?","tests","2026-03-08","passed","2026-03-08","TestFaq","test_faq","",""
"","76","Проверка вопроса: Я жизу за МКАДом, привезёте?","tests","2026-03-08","passed","2026-03-08","TestFaq","test_faq","",""
"","78","Проверка вопроса: Можно ли продлить заказ или вернуть самокат раньше?","tests","2026-03-08","passed","2026-03-08","TestFaq","test_faq","",""
"","76","Проверка вопроса: Можно ли заказать самокат прямо на сегодня?","tests","2026-03-08","passed","2026-03-08","TestFaq","test_faq","",""
"","71","Проверка вопроса: Вы привозите зарядку вместе с самокатом?","tests","2026-03-08","passed","2026-03-08","TestFaq","test_faq","",""
"","70","Проверка вопроса: Как рассчитывается время аренды?","tests","2026-03-08","passed","2026-03-08","TestFaq","test_faq","",""
"","525","Проверка перехода по логотипу Яндекса (открытие Дзена)","tests","2026-03-08","passed","2026-03-08","TestNavigation","test_navigation","",""
"","74","Проверка перехода по логотипу Самоката","tests","2026-03-08","passed","2026-03-08","TestNavigation","test_navigation","",""
"","1777","Позитивный сценарий заказа самоката (старт с нижней кнопки)","tests","2026-03-08","passed","2026-03-08","TestOrder","test_order","",""
"","77","Проверка вопроса: Хочу сразу несколько самокатов! Так можно?","tests","2026-03-08","passed","2026-03-08","TestFaq","test_faq","",""
"","74","Проверка вопроса: Можно ли отменить заказ?","tests","2026-03-08","passed","2026-03-08","TestFaq","test_faq","",""
"","1796","Позитивный сценарий заказа самоката (старт с верхней кнопки)","tests","2026-03-08","passed","2026-03-08","TestOrder","test_order","",""
=======
"","1857","Позитивный сценарий заказа самоката (старт с верхней кнопки)","tests","2026-03-07","passed","2026-03-07","TestOrder","test_order","",""
"","530","Проверка вопроса: Можно ли заказать самокат прямо на сегодня?","tests","2026-03-07","passed","2026-03-07","TestFaq","test_faq","",""
"","530","Проверка вопроса: Хочу сразу несколько самокатов! Так можно?","tests","2026-03-07","passed","2026-03-07","TestFaq","test_faq","",""
"","1817","Позитивный сценарий заказа самоката (старт с нижней кнопки)","tests","2026-03-07","passed","2026-03-07","TestOrder","test_order","",""
"","538","Проверка перехода по логотипу Яндекса (открытие Дзена)","tests","2026-03-07","passed","2026-03-07","TestNavigation","test_navigation","",""
"","63","Проверка перехода по логотипу Самоката","tests","2026-03-07","passed","2026-03-07","TestNavigation","test_navigation","",""
"","541","Проверка вопроса: Можно ли продлить заказ или вернуть самокат раньше?","tests","2026-03-07","passed","2026-03-07","TestFaq","test_faq","",""
"","525","Проверка вопроса: Сколько это стоит? И как оплатить?","tests","2026-03-07","passed","2026-03-07","TestFaq","test_faq","",""
"","524","Проверка вопроса: Я жизу за МКАДом, привезёте?","tests","2026-03-07","passed","2026-03-07","TestFaq","test_faq","",""
"","526","Проверка вопроса: Вы привозите зарядку вместе с самокатом?","tests","2026-03-07","passed","2026-03-07","TestFaq","test_faq","",""
"","525","Проверка вопроса: Как рассчитывается время аренды?","tests","2026-03-07","passed","2026-03-07","TestFaq","test_faq","",""
"","525","Проверка вопроса: Можно ли отменить заказ?","tests","2026-03-07","passed","2026-03-07","TestFaq","test_faq","",""
>>>>>>> e0c9b3b7d19f3b90a71204a558dce4f3c830449c
